Year,Coal,Natural Gas,Petroleum,Hydroelectric,Wood,Nuclear
1775,,,,0,0.249
1785,,,,0,0.310
1795,,,,0,0.402
1805,,,,0,0.537
1815,,,,0,0.714
1825,,,,0,0.960
1835,,,,0,1.305
1845,,,,0,1.757
1850,0.219,,,0,2.138
1855,0.421,,,0,2.389
1860,0.518,,0.003,0,2.641
1865,0.632,,0.01,0,2.767
1870,1.048,,0.011,0,2.893
1875,1.44,,0.011,0,2.872
1880,2.054,,0.096,0,2.851
1885,2.84,0.082,0.04,0,2.683
1890,4.062,0.257,0.156,0.022,2.515
1895,4.95,0.147,0.168,0.09,2.306
1900,6.841,0.252,0.229,0.25,2.015
1905,10.001,0.372,0.61,0.386,1.843
1910,12.714,0.54,1.007,0.539,1.765
1915,13.294,0.673,1.418,0.659,1.688
1920,15.504,0.813,2.676,0.738,1.610
1925,14.706,1.191,4.28,0.668,1.533
1930,13.639,1.932,5.897,0.752,1.455
1935,10.634,1.919,5.675,0.806,1.397
1940,12.535,2.665,7.76,0.88,1.358
1945,15.972,3.871,10.11,1.442,1.261
1949,11.981,5.145,11.883,1.425,1.549,0
1950,12.347,5.968,13.315,1.415,1.562,0
1951,12.553,7.049,14.428,1.424,1.535,0
1952,11.306,7.550,14.956,1.466,1.474,0
1953,11.373,7.907,15.556,1.413,1.419,0
1954,9.715,8.330,15.839,1.360,1.394,0
1955,11.167,8.998,17.255,1.360,1.424,0
1956,11.350,9.614,17.937,1.435,1.416,0
1957,10.821,10.191,17.932,1.516,1.334,0.000112
1958,9.533,10.663,18.527,1.592,1.323,0.001915
1959,9.518,11.717,19.323,1.548,1.353,0.002187
1960,9.838,12.385,19.919,1.608,1.320,0.006026
1961,9.623,12.926,20.216,1.656,1.295,0.019678
1962,9.906,13.731,21.049,1.816,1.300,0.026394
1963,10.413,14.403,21.701,1.771,1.323,0.038147
1964,10.964,15.288,22.301,1.886,1.337,0.039819
1965,11.581,15.769,23.246,2.059,1.335,0.043164
1966,12.143,16.995,24.401,2.062,1.369,0.064158
1967,11.914,17.945,25.284,2.347,1.340,0.088456
1968,12.331,19.210,26.979,2.349,1.419,0.141534
1969,12.382,20.678,28.338,2.648,1.440,0.153722
1970,12.265,21.795,29.521,2.634,1.429,0.239347
1971,11.598,22.469,30.561,2.824,1.430,0.412939
1972,12.077,22.698,32.947,2.864,1.501,0.583752
1973,12.971,22.512,34.840,2.861,1.527,0.910177
1974,12.663,21.732,33.455,3.177,1.538,1.272083
1975,12.663,19.948,32.731,3.155,1.497,1.899798
1976,13.584,20.345,35.175,2.976,1.711,2.111121
1977,13.922,19.931,37.122,2.333,1.837,2.701762
1978,13.766,20.000,37.965,2.937,2.036,3.024126
1979,15.040,20.666,37.123,2.931,2.150,2.775827
1980,15.423,20.235,34.202,2.900,2.474,2.739169
1981,15.908,19.747,31.931,2.758,2.496,3.007589
1982,15.322,18.356,30.232,3.266,2.510,3.131148
1983,15.894,17.221,30.054,3.527,2.684,3.202549
1984,17.071,18.394,31.051,3.386,2.686,3.552531
1985,17.478,17.703,30.922,2.970,2.687,4.075563
1986,17.260,16.591,32.196,3.071,2.562,4.380109
1987,18.008,17.640,32.865,2.635,2.463,4.753933
1988,18.846,18.448,34.222,2.334,2.577,5.586968
1989,19.070,19.602,34.211,2.837,2.680,5.602161
1990,19.173,19.603,33.553,3.046,2.216,6.10435
1991,18.992,20.033,32.845,3.016,2.214,6.422132
1992,19.122,20.714,33.527,2.617,2.313,6.479206
1993,19.835,21.229,33.744,2.892,2.260,6.410499
1994,19.909,21.728,34.561,2.683,2.324,6.693877
1995,20.089,22.671,34.436,3.205,2.370,7.075436
1996,21.002,23.085,35.673,3.590,2.437,7.086674
1997,21.445,23.223,36.159,3.640,2.371,6.596992
1998,21.656,22.830,36.816,3.297,2.184,7.067809
1999,21.623,22.909,37.837,3.268,2.214,7.610256
2000,22.580,23.824,38.263,2.811,2.262,7.862349
2001,21.914,22.773,38.185,2.242,2.006,8.028853
2002,21.904,23.558,38.225,2.689,1.995,8.145429
2003,22.321,22.831,38.808,2.825,2.002,7.958858
2004,22.466,22.909,40.292,2.690,2.121,8.221985
2005,22.797,22.561,40.391,2.703,2.136,8.16081
2006,22.447,22.224,39.955,2.869,2.109,8.215414
2007,22.749,23.702,39.769,2.446,2.098,8.455364
2008,22.385,23.791,37.279,2.511,2.044,8.427297
2009,19.761,23.362,35.268,2.682,1.891,8.349279
